bank,n_tokens,vocab_size,top1_token,top1_share
Heritage_Bank,10,6,ck,0.2
Hawaii_State_Federal_Credit_Union,10,5,inst,0.2
FNBO,30,10,dbt,0.2
Bar_Harbor_Bank_&_Trust,35,11,dbt,0.2
First_National_Bank_Alaska,15,6,check,0.2
Field_&_Main_Bank,10,6,ppd,0.2
Provident_Credit_Union,50,7,tfr,0.2
Independent_Financial,20,8,online,0.2
HarborOne_Bank,10,5,pos,0.2
MIDFLORIDA,20,6,point,0.2
First_Northern_Bank,25,9,real,0.2
Tropical_Financial_Credit_Union,76,7,point,0.19736842105263158
Pinnacle,41,10,check,0.1951219512195122
Blaze_Credit_Union,36,10,pos,0.19444444444444445
Johnson_Bank,26,8,check,0.19230769230769232
BayPort_Credit_Union,90,14,ach,0.18888888888888888
Inwood_National_Bank,16,8,ccd,0.1875
Suffolk_Credit_Union,38,9,point,0.18421052631578946
Truist_Bank,44,13,debit,0.18181818181818182
Popular_Bank,11,6,preauthorized,0.18181818181818182
Frontier_Credit_Union,45,9,debit,0.17777777777777778
First_State_Bank_&_Trust,17,8,purchase,0.17647058823529413
Space_Coast_Credit_Union,57,9,point,0.17543859649122806
Anderson_Brothers_Bank,81,11,dbt,0.1728395061728395
America_First_Credit_Union,371,19,mobile,0.1725067385444744
plaid_report_type1,145,21,check,0.1724137931034483
4Front_Credit_Union,93,10,transfer,0.17204301075268819
plaid_report_type2,630,25,debit,0.16825396825396827
Sanibel_Captiva_Community_Bank,42,14,debit,0.16666666666666666
Lincoln_Savings_Bank,42,10,ach,0.16666666666666666
ACNB_Bank,90,15,point,0.16666666666666666
TruStone_Financial,18,8,ach,0.16666666666666666
First_Horizon,66,16,check,0.16666666666666666
Robins_Financial_Credit_Union,55,11,ach,0.16363636363636364
Somerset_Trust_Company,55,18,crd,0.16363636363636364
American_Eagle_Financial_Credit_Union,25,9,point,0.16
First_Federal_Savings_Bank,50,9,preauthpmt,0.16
INTRUST_Bank,13,8,crd,0.15384615384615385
Wintrust_Bank,26,11,pos,0.15384615384615385
Middlesex_Federal_Savings,13,8,vi,0.15384615384615385
Windsor_Federal_Bank,27,11,internet,0.14814814814814814
OneAZ_Credit_Union,102,16,point,0.14705882352941177
First_National_Bank_of_Mount_Dora,75,12,check,0.14666666666666667
MidFirst_Bank,22,11,check,0.13636363636363635
TD_Bank,59,15,visa,0.13559322033898305
United_Federal_Credit_Union,40,13,point,0.125
OnPoint_Community_Credit_Union,60,15,point,0.11666666666666667
Republic_Bank,77,24,check,0.09090909090909091
